0.0581[2], 0.0663[4], 0.0682[3], 0.0768[2], 0.0778[3], 0.0802[4], 0.0812[2], 0.0850[3], 0.0857[5], 0.0918[5], 0.0931[2], 0.0996[4], 0.0997[3], 0.1024[4], 0.1025[3], 0.1033[2], 0.1050[5], 0.1052[1], 0.1072[3], 0.1073[3], 0.1080[5], 0.1082[4], 0.1097[5], 0.1104[1], 0.1124[4], 0.1127[3], 0.1143[5], 0.1151[2], 0.1164[4], 0.1165[4], 0.1166[5], 0.1184[1], 0.1200[1], 0.1216[5], 0.1235[5], 0.1268[4], 0.1271[1], 0.1292[1], 0.1307[4], 0.1385[1], 0.1482[2], 0.1494[5], 0.1498[1], 0.1622[4], 0.1684[4]
0.1252[1], 0.1290[2], 0.1508[5], 0.1559[4], 0.1621[1], 0.1693[5], 0.1746[4], 0.1772[2], 0.1792[5], 0.1799[5], 0.1833[4], 0.1863[4], 0.1871[5], 0.1883[3], 0.1911[2], 0.1931[5], 0.1944[2], 0.1955[5], 0.2018[1], 0.2044[5], 0.2047[5], 0.2117[3], 0.2125[5], 0.2126[2], 0.2132[5], 0.2180[4], 0.2198[4], 0.2285[3], 0.2301[3], 0.2327[5], 0.2392[3], 0.2474[5], 0.2527[4], 0.2579[3], 0.2583[3], 0.2710[4], 0.2794[4], 0.2905[5], 0.2911[2], 0.2973[1], 0.3008[2], 0.3210[4], 0.3230[2], 0.3526[4], 0.3694[2]
0.0805[5], 0.0922[3], 0.0948[2], 0.0951[4], 0.0953[1], 0.1009[3], 0.1016[2], 0.1019[3], 0.1054[2], 0.1056[5], 0.1077[5], 0.1111[1], 0.1131[2], 0.1144[3], 0.1146[5], 0.1156[5], 0.1168[4], 0.1183[5], 0.1227[2], 0.1239[5], 0.1240[2], 0.1243[2], 0.1245[2], 0.1267[5], 0.1277[3], 0.1287[1], 0.1349[4], 0.1356[4], 0.1375[2], 0.1402[5], 0.1413[3], 0.1434[4], 0.1458[4], 0.1472[4], 0.1513[3], 0.1523[5], 0.1543[5], 0.1582[4], 0.1587[2], 0.1607[4], 0.1682[1], 0.1745[2], 0.1851[3], 0.1895[3], 0.2160[5]
0.1403[3], 0.1726[2], 0.1743[4], 0.1922[4], 0.1931[3], 0.1939[3], 0.1953[5], 0.1962[5], 0.1976[2], 0.2044[2], 0.2070[1], 0.2088[5], 0.2113[2], 0.2181[5], 0.2212[2], 0.2226[3], 0.2237[3], 0.2258[4], 0.2258[1], 0.2263[4], 0.2279[4], 0.2296[1], 0.2299[5], 0.2302[3], 0.2363[3], 0.2364[2], 0.2381[5], 0.2391[4], 0.2403[4], 0.2464[5], 0.2513[5], 0.2550[3], 0.2587[4], 0.2596[1], 0.2618[2], 0.2639[4], 0.2772[3], 0.2784[5], 0.2792[5], 0.2831[2], 0.2841[1], 0.2901[2], 0.2910[5], 0.2931[1], 0.3133[5]
0.2735[3], 0.2748[2], 0.2967[4], 0.3072[5], 0.3222[2], 0.3446[2], 0.3609[2], 0.3759[3], 0.3873[3], 0.3894[4], 0.3953[1], 0.3975[4], 0.3980[4], 0.4017[2], 0.4105[4], 0.4146[4], 0.4284[1], 0.4295[1], 0.4418[3], 0.4432[4], 0.4514[5], 0.4521[5], 0.4535[1], 0.4543[5], 0.4551[3], 0.4558[4], 0.4724[4], 0.4756[5], 0.4766[1], 0.4827[5], 0.4864[4], 0.4910[3], 0.4930[3], 0.5041[5], 0.5177[1], 0.5269[3], 0.5467[5], 0.5478[4], 0.5540[2], 0.5547[3], 0.5556[2], 0.5697[5], 0.5709[4], 0.6046[5], 0.6151[4]
0.0857[2], 0.1149[2], 0.1189[3], 0.1192[4], 0.1215[3], 0.1230[5], 0.1272[1], 0.1274[2], 0.1279[2], 0.1281[4], 0.1297[1], 0.1304[3], 0.1329[2], 0.1329[4], 0.1330[2], 0.1332[4], 0.1334[1], 0.1342[2], 0.1356[3], 0.1372[3], 0.1416[4], 0.1484[3], 0.1495[5], 0.1514[4], 0.1527[2], 0.1530[5], 0.1540[4], 0.1541[4], 0.1583[3], 0.1584[1], 0.1605[5], 0.1635[2], 0.1687[3], 0.1689[4], 0.1698[5], 0.1732[4], 0.1758[1], 0.1764[1], 0.1837[4], 0.1865[5], 0.1882[4], 0.1897[1], 0.1912[5], 0.2078[1], 0.2170[4]
0.3111[5], 0.3120[5], 0.3326[3], 0.3554[3], 0.3926[2], 0.3966[4], 0.3969[5], 0.3987[4], 0.4011[1], 0.4066[4], 0.4094[5], 0.4114[3], 0.4140[5], 0.4151[3], 0.4154[1], 0.4159[2], 0.4172[5], 0.4174[2], 0.4208[5], 0.4211[4], 0.4270[4], 0.4287[5], 0.4325[4], 0.4343[1], 0.4447[5], 0.4480[3], 0.4482[4], 0.4483[4], 0.4492[2], 0.4501[2], 0.4537[2], 0.4612[4], 0.4613[4], 0.4620[3], 0.4643[2], 0.4743[5], 0.4746[2], 0.4748[4], 0.4763[4], 0.4820[5], 0.4915[1], 0.4960[2], 0.5140[3], 0.5142[4], 0.5321[3]
0.1186[3], 0.1321[2], 0.1349[4], 0.1460[3], 0.1463[1], 0.1510[3], 0.1527[4], 0.1555[1], 0.1658[5], 0.1677[2], 0.1695[1], 0.1811[2], 0.1907[3], 0.1931[4], 0.1950[2], 0.1963[2], 0.1999[5], 0.2043[4], 0.2044[2], 0.2077[5], 0.2082[4], 0.2097[4], 0.2155[5], 0.2169[4], 0.2172[4], 0.2179[4], 0.2237[4], 0.2303[2], 0.2311[4], 0.2459[5], 0.2470[3], 0.2479[3], 0.2488[5], 0.2499[1], 0.2503[3], 0.2518[5], 0.2521[4], 0.2575[5], 0.2643[2], 0.2666[5], 0.2679[4], 0.2699[4], 0.3002[1], 0.3023[4], 0.3042[2]
0.1902[2], 0.1993[2], 0.2023[4], 0.2143[2], 0.2243[1], 0.2272[4], 0.2345[3], 0.2351[2], 0.2474[4], 0.2517[5], 0.2520[4], 0.2550[5], 0.2556[5], 0.2600[2], 0.2622[1], 0.2646[2], 0.2763[4], 0.2769[2], 0.2876[4], 0.2944[4], 0.2977[3], 0.2984[3], 0.2986[5], 0.2988[4], 0.3029[5], 0.3046[4], 0.3053[4], 0.3070[2], 0.3078[2], 0.3122[2], 0.3158[3], 0.3163[5], 0.3173[1], 0.3212[5], 0.3236[1], 0.3277[1], 0.3296[5], 0.3334[3], 0.3405[3], 0.3406[4], 0.3477[5], 0.3703[2], 0.3860[2], 0.4317[3], 0.4725[5]
0.1803[2], 0.1815[3], 0.1882[5], 0.1922[4], 0.1983[3], 0.2019[5], 0.2091[5], 0.2098[2], 0.2137[1], 0.2151[2], 0.2155[2], 0.2168[4], 0.2179[5], 0.2205[4], 0.2215[4], 0.2217[2], 0.2223[2], 0.2225[1], 0.2228[3], 0.2234[4], 0.2237[4], 0.2279[2], 0.2294[1], 0.2320[4], 0.2320[3], 0.2321[5], 0.2336[2], 0.2356[1], 0.2410[3], 0.2417[4], 0.2438[3], 0.2498[4], 0.2504[4], 0.2536[5], 0.2561[2], 0.2584[5], 0.2702[4], 0.2717[5], 0.2930[4], 0.2950[3], 0.2964[5], 0.3104[4], 0.3295[5], 0.3307[3], 0.3346[1]
0.0100[무효], 0.0141[무효], 0.0165[무효], 0.0395[무효], 0.0525[무효], 0.1237[4], 0.1647[5], 0.1709[5], 0.1726[4], 0.1819[4], 0.1821[4], 0.1894[4], 0.1962[4], 0.2004[5], 0.2023[5], 0.2039[5], 0.2107[4], 0.2242[4], 0.2244[2], 0.2245[5], 0.2275[1], 0.2364[3], 0.2388[4], 0.2442[4], 0.2520[2], 0.2525[2], 0.2549[5], 0.2572[3], 0.2615[5], 0.2672[5], 0.2709[4], 0.2743[5], 0.2820[4], 0.2823[5], 0.2844[4], 0.2943[4], 0.3041[4], 0.3236[3], 0.3773[3], 0.3794[2], 0.3831[4], 0.3840[5], 0.3847[2], 0.3878[1], 0.5211[1]
0.1759[4], 0.1829[3], 0.1991[3], 0.2044[1], 0.2053[2], 0.2084[2], 0.2108[5], 0.2131[4], 0.2173[4], 0.2180[4], 0.2188[5], 0.2198[5], 0.2222[5], 0.2266[2], 0.2310[4], 0.2311[5], 0.2315[4], 0.2338[2], 0.2347[5], 0.2351[1], 0.2387[4], 0.2459[2], 0.2492[3], 0.2577[1], 0.2580[5], 0.2589[4], 0.2663[5], 0.2724[2], 0.2751[2], 0.2770[5], 0.2782[2], 0.2798[5], 0.2809[3], 0.2877[1], 0.2919[2], 0.2942[4], 0.2987[1], 0.2998[3], 0.3004[5], 0.3150[4], 0.3229[3], 0.3377[3], 0.3588[5], 0.3589[4], 0.3794[3]
0.1714[2], 0.1950[3], 0.1996[4], 0.2039[4], 0.2085[3], 0.2108[3], 0.2232[5], 0.2233[5], 0.2237[1], 0.2315[3], 0.2467[4], 0.2482[5], 0.2537[2], 0.2574[5], 0.2575[2], 0.2664[2], 0.2838[2], 0.2894[5], 0.2911[3], 0.2937[1], 0.2983[5], 0.3055[5], 0.3072[2], 0.3129[4], 0.3136[5], 0.3142[4], 0.3171[1], 0.3206[3], 0.3239[1], 0.3468[3], 0.3518[5], 0.3644[4], 0.3759[4], 0.3814[4], 0.3822[4], 0.3983[1], 0.4062[2], 0.4143[2], 0.4186[5], 0.4311[2], 0.4535[2], 0.4689[4], 0.5074[3], 0.5183[5], 0.5497[2]
0.1345[2], 0.1386[5], 0.1416[4], 0.1420[3], 0.1451[5], 0.1487[5], 0.1492[5], 0.1508[1], 0.1512[3], 0.1514[3], 0.1552[5], 0.1558[1], 0.1565[3], 0.1574[2], 0.1590[5], 0.1600[3], 0.1621[4], 0.1626[3], 0.1631[2], 0.1632[2], 0.1647[2], 0.1656[3], 0.1663[4], 0.1664[4], 0.1679[4], 0.1690[3], 0.1693[4], 0.1704[4], 0.1721[2], 0.1722[2], 0.1728[4], 0.1740[4], 0.1765[4], 0.1777[5], 0.1777[2], 0.1793[4], 0.1794[2], 0.1805[2], 0.1822[5], 0.1893[3], 0.1919[4], 0.1974[2], 0.1996[2], 0.2093[4], 0.2095[5]
0.1253[3], 0.1418[3], 0.1425[5], 0.1461[2], 0.1531[5], 0.1593[1], 0.1619[3], 0.1648[4], 0.1673[3], 0.1688[4], 0.1689[4], 0.1762[4], 0.1786[3], 0.1800[5], 0.1801[4], 0.1809[1], 0.1817[4], 0.1820[1], 0.1823[4], 0.1843[4], 0.1854[4], 0.1888[4], 0.1897[2], 0.1927[5], 0.1943[3], 0.1985[2], 0.2008[2], 0.2022[5], 0.2029[3], 0.2031[4], 0.2045[2], 0.2075[5], 0.2076[4], 0.2085[5], 0.2128[1], 0.2149[3], 0.2154[4], 0.2177[5], 0.2206[2], 0.2304[3], 0.2403[4], 0.2406[2], 0.2484[1], 0.2501[3], 0.2591[1]
0.2327[4], 0.2343[4], 0.2449[1], 0.2458[4], 0.2517[5], 0.2530[2], 0.2622[1], 0.2623[2], 0.2646[4], 0.2679[3], 0.2718[4], 0.2729[3], 0.2738[3], 0.2757[1], 0.2781[4], 0.2793[4], 0.2831[4], 0.2834[5], 0.2838[5], 0.2861[4], 0.2927[4], 0.2938[3], 0.2941[3], 0.2984[4], 0.3022[5], 0.3035[2], 0.3099[4], 0.3116[2], 0.3134[1], 0.3142[5], 0.3161[5], 0.3165[3], 0.3177[4], 0.3180[4], 0.3227[2], 0.3254[3], 0.3288[3], 0.3290[5], 0.3310[2], 0.3345[4], 0.3355[5], 0.3385[5], 0.3440[4], 0.3503[4], 0.3669[2]
0.1243[5], 0.1274[3], 0.1279[1], 0.1282[5], 0.1291[4], 0.1361[3], 0.1362[4], 0.1375[2], 0.1375[4], 0.1383[5], 0.1404[3], 0.1404[3], 0.1421[4], 0.1427[1], 0.1442[5], 0.1460[5], 0.1465[3], 0.1475[2], 0.1484[2], 0.1488[4], 0.1520[4], 0.1532[5], 0.1534[5], 0.1539[5], 0.1540[5], 0.1545[1], 0.1594[4], 0.1595[4], 0.1598[5], 0.1623[3], 0.1625[5], 0.1626[5], 0.1628[2], 0.1699[3], 0.1728[1], 0.1758[5], 0.1768[4], 0.1785[2], 0.1817[1], 0.1847[1], 0.1857[2], 0.1871[4], 0.1878[4], 0.1932[4], 0.2036[2]
0.1312[1], 0.1321[2], 0.1352[4], 0.1365[1], 0.1368[2], 0.1374[3], 0.1421[2], 0.1427[1], 0.1436[4], 0.1440[2], 0.1444[5], 0.1475[2], 0.1491[4], 0.1500[4], 0.1545[5], 0.1549[5], 0.1565[4], 0.1568[4], 0.1577[5], 0.1596[5], 0.1623[5], 0.1644[4], 0.1666[4], 0.1712[4], 0.1720[2], 0.1749[3], 0.1753[3], 0.1794[3], 0.1798[2], 0.1851[1], 0.1884[4], 0.2011[4], 0.2035[3], 0.2131[3], 0.2159[5], 0.2174[1], 0.2194[2], 0.2225[4], 0.2248[2], 0.2264[5], 0.2293[5], 0.2382[3], 0.2646[4], 0.3062[3], 0.3080[4]
0.1388[3], 0.1467[3], 0.1612[2], 0.1927[2], 0.2019[5], 0.2035[2], 0.2068[4], 0.2074[4], 0.2082[2], 0.2087[2], 0.2213[4], 0.2222[3], 0.2233[2], 0.2288[1], 0.2293[3], 0.2295[4], 0.2300[2], 0.2314[4], 0.2388[5], 0.2389[4], 0.2411[3], 0.2417[2], 0.2421[5], 0.2454[2], 0.2456[5], 0.2457[3], 0.2487[5], 0.2491[5], 0.2499[1], 0.2542[5], 0.2556[3], 0.2562[4], 0.2608[5], 0.2707[3], 0.2753[5], 0.2768[4], 0.2797[4], 0.2839[5], 0.2849[3], 0.2890[4], 0.2994[3], 0.3071[4], 0.3262[4], 0.3309[1], 0.3464[1]
0.1148[3], 0.1256[3], 0.1278[3], 0.1309[2], 0.1328[3], 0.1337[5], 0.1342[1], 0.1350[2], 0.1377[4], 0.1381[3], 0.1390[3], 0.1410[2], 0.1431[3], 0.1436[3], 0.1451[5], 0.1451[3], 0.1462[5], 0.1466[5], 0.1481[2], 0.1484[1], 0.1500[3], 0.1511[2], 0.1521[3], 0.1552[1], 0.1572[5], 0.1581[4], 0.1590[2], 0.1593[3], 0.1609[3], 0.1621[5], 0.1625[4], 0.1653[5], 0.1655[4], 0.1659[2], 0.1691[2], 0.1705[2], 0.1707[4], 0.1712[1], 0.1714[4], 0.1718[4], 0.1735[5], 0.1783[4], 0.1786[2], 0.1858[3], 0.1946[4]
0.0998[5], 0.1096[5], 0.1230[1], 0.1340[4], 0.1396[3], 0.1407[4], 0.1456[2], 0.1475[4], 0.1479[3], 0.1480[2], 0.1494[4], 0.1560[4], 0.1569[4], 0.1587[5], 0.1594[2], 0.1599[3], 0.1605[5], 0.1605[5], 0.1647[4], 0.1657[4], 0.1657[1], 0.1684[2], 0.1695[1], 0.1706[3], 0.1710[4], 0.1731[1], 0.1764[4], 0.1778[2], 0.1806[4], 0.1816[2], 0.1838[1], 0.1844[5], 0.1847[1], 0.1857[5], 0.1870[2], 0.1890[3], 0.1990[3], 0.2092[5], 0.2116[2], 0.2172[4], 0.2180[3], 0.2182[5], 0.2278[4], 0.2307[5], 0.2380[5]


0.1572[5], 0.1573[4], 0.1655[4], 0.1664[3], 0.1697[5], 0.1700[2], 0.1703[3], 0.1751[2], 0.1786[4], 0.1790[1], 0.1796[2], 0.1821[1], 0.1825[4], 0.1838[5], 0.1842[5], 0.1853[4], 0.1868[4], 0.1888[1], 0.1964[5], 0.1989[5], 0.1992[4], 0.2004[1], 0.2011[2], 0.2030[5], 0.2041[2], 0.2053[5], 0.2057[2], 0.2097[2], 0.2108[4], 0.2132[4], 0.2177[5], 0.2199[5], 0.2250[4], 0.2258[4], 0.2310[2], 0.2388[1], 0.2404[2], 0.2437[3], 0.2524[1], 0.2606[3], 0.2865[4], 0.3038[3], 0.3068[4], 0.3098[1], 0.3368[4]
0.1736[2], 0.1907[4], 0.1946[3], 0.1954[2], 0.1964[4], 0.1977[4], 0.2009[3], 0.2011[4], 0.2054[5], 0.2059[3], 0.2071[5], 0.2124[4], 0.2219[2], 0.2247[2], 0.2252[2], 0.2294[4], 0.2329[1], 0.2377[2], 0.2404[3], 0.2576[5], 0.2653[4], 0.2673[5], 0.2698[1], 0.2741[4], 0.2743[5], 0.2772[2], 0.2788[1], 0.2798[4], 0.2799[5], 0.2836[4], 0.2846[4], 0.2850[4], 0.2865[2], 0.2868[5], 0.2881[5], 0.2908[5], 0.2979[4], 0.3080[2], 0.3239[4], 0.3252[2], 0.3275[5], 0.3516[4], 0.3644[5], 0.3717[2], 0.3901[4]
0.0727[1], 0.0789[4], 0.0790[2], 0.0871[3], 0.0871[4], 0.0925[4], 0.0937[3], 0.0950[3], 0.0973[5], 0.1035[4], 0.1051[2], 0.1060[2], 0.1070[3], 0.1078[4], 0.1093[4], 0.1107[5], 0.1119[3], 0.1131[5], 0.1135[3], 0.1152[3], 0.1174[4], 0.1183[5], 0.1202[3], 0.1219[2], 0.1231[5], 0.1244[5], 0.1270[4], 0.1273[2], 0.1290[5], 0.1308[5], 0.1313[4], 0.1326[1], 0.1334[3], 0.1338[4], 0.1441[3], 0.1477[5], 0.1488[2], 0.1490[1], 0.1567[4], 0.1655[1], 0.1765[2], 0.1847[4], 0.1864[2], 0.1865[4], 0.2119[4]
0.0955[5], 0.1076[3], 0.1279[2], 0.1343[3], 0.1350[2], 0.1354[2], 0.1377[5], 0.1511[3], 0.1529[2], 0.1538[4], 0.1548[5], 0.1568[5], 0.1574[5], 0.1648[3], 0.1670[4], 0.1687[1], 0.1693[2], 0.1718[4], 0.1734[4], 0.1756[4], 0.1794[3], 0.1831[3], 0.1890[4], 0.1907[1], 0.1927[4], 0.1941[4], 0.1979[3], 0.1998[4], 0.2013[4], 0.2059[2], 0.2128[4], 0.2135[1], 0.2184[4], 0.2191[4], 0.2197[3], 0.2200[4], 0.2232[2], 0.2244[5], 0.2319[5], 0.2364[4], 0.2440[5], 0.2668[3], 0.2774[5], 0.2884[1], 0.2893[2]
0.0989[3], 0.0989[3], 0.1162[2], 0.1233[4], 0.1234[4], 0.1252[2], 0.1260[4], 0.1261[5], 0.1280[2], 0.1290[4], 0.1302[5], 0.1309[5], 0.1314[5], 0.1337[2], 0.1343[2], 0.1350[5], 0.1372[2], 0.1375[3], 0.1376[4], 0.1392[3], 0.1436[5], 0.1444[5], 0.1444[3], 0.1455[1], 0.1484[2], 0.1544[5], 0.1571[5], 0.1575[3], 0.1586[2], 0.1608[4], 0.1621[1], 0.1651[1], 0.1656[2], 0.1669[3], 0.1687[4], 0.1702[4], 0.1726[4], 0.1736[5], 0.1984[4], 0.2013[5], 0.2025[1], 0.2035[1], 0.2126[4], 0.2312[4], 0.3178[4]
0.1365[2], 0.1381[5], 0.1391[1], 0.1393[2], 0.1474[3], 0.1495[3], 0.1510[4], 0.1511[5], 0.1532[2], 0.1559[2], 0.1575[4], 0.1590[5], 0.1605[2], 0.1615[5], 0.1631[2], 0.1689[3], 0.1718[3], 0.1725[4], 0.1735[5], 0.1736[5], 0.1744[2], 0.1748[4], 0.1755[3], 0.1761[4], 0.1764[3], 0.1764[2], 0.1793[5], 0.1794[5], 0.1826[1], 0.1833[4], 0.1834[4], 0.1835[1], 0.1840[4], 0.1877[3], 0.1882[5], 0.1887[1], 0.1892[3], 0.1916[4], 0.1934[4], 0.2004[5], 0.2016[3], 0.2042[3], 0.2054[1], 0.2224[5], 0.2431[2]
0.1460[2], 0.1493[5], 0.1495[2], 0.1518[3], 0.1519[5], 0.1553[3], 0.1588[5], 0.1610[4], 0.1633[5], 0.1647[4], 0.1647[3], 0.1667[4], 0.1676[4], 0.1724[5], 0.1726[4], 0.1727[3], 0.1738[5], 0.1761[4], 0.1765[4], 0.1778[2], 0.1793[5], 0.1799[5], 0.1804[4], 0.1817[5], 0.1819[4], 0.1832[3], 0.1833[5], 0.1835[4], 0.1855[1], 0.1860[4], 0.1867[1], 0.1874[3], 0.1887[2], 0.1905[4], 0.1941[3], 0.1950[2], 0.1951[4], 0.1960[2], 0.1996[1], 0.1996[3], 0.2021[4], 0.2216[5], 0.2359[4], 0.2365[2], 0.2577[4]
0.1258[4], 0.1304[2], 0.1315[4], 0.1351[2], 0.1354[4], 0.1378[2], 0.1395[5], 0.1399[2], 0.1403[4], 0.1404[5], 0.1406[4], 0.1424[1], 0.1426[3], 0.1437[2], 0.1441[3], 0.1441[2], 0.1441[3], 0.1484[4], 0.1488[1], 0.1517[2], 0.1522[2], 0.1556[2], 0.1565[5], 0.1576[4], 0.1614[4], 0.1617[2], 0.1636[5], 0.1685[5], 0.1689[5], 0.1696[3], 0.1731[5], 0.1755[5], 0.1771[4], 0.1803[3], 0.1827[5], 0.1840[3], 0.1874[4], 0.1899[3], 0.1968[3], 0.2039[5], 0.2050[2], 0.2121[4], 0.2263[4], 0.2275[5], 0.2821[4]
0.1174[4], 0.1266[5], 0.1459[4], 0.1511[4], 0.1531[5], 0.1534[5], 0.1602[3], 0.1610[3], 0.1630[4], 0.1645[5], 0.1647[1], 0.1662[2], 0.1697[2], 0.1715[4], 0.1734[5], 0.1803[3], 0.1830[5], 0.1834[3], 0.1841[1], 0.1867[3], 0.1898[1], 0.1941[4], 0.1958[4], 0.1983[4], 0.1984[3], 0.2085[2], 0.2161[3], 0.2164[2], 0.2227[4], 0.2260[4], 0.2280[1], 0.2366[2], 0.2503[1], 0.2595[5], 0.2669[4], 0.2745[5], 0.2774[5], 0.2775[1], 0.2816[2], 0.2831[5], 0.2836[2], 0.3269[2], 0.3300[2], 0.3312[4], 0.3625[2]
0.1571[3], 0.1891[3], 0.2010[3], 0.2034[4], 0.2045[1], 0.2046[2], 0.2090[5], 0.2105[3], 0.2115[2], 0.2193[4], 0.2206[4], 0.2248[3], 0.2270[3], 0.2294[4], 0.2295[5], 0.2303[4], 0.2315[2], 0.2343[1], 0.2380[4], 0.2394[2], 0.2439[5], 0.2457[5], 0.2470[5], 0.2475[3], 0.2479[4], 0.2487[1], 0.2524[3], 0.2546[1], 0.2557[5], 0.2570[4], 0.2591[4], 0.2625[2], 0.2647[3], 0.2657[4], 0.2659[5], 0.2668[5], 0.2752[2], 0.2799[3], 0.2895[4], 0.3266[3], 0.3390[4], 0.3427[2], 0.3430[5], 0.3556[3], 0.3598[1]
0.1920[5], 0.1942[4], 0.1946[2], 0.1991[5], 0.2001[2], 0.2011[2], 0.2022[5], 0.2038[5], 0.2093[5], 0.2096[5], 0.2124[2], 0.2167[3], 0.2225[3], 0.2238[4], 0.2331[4], 0.2371[5], 0.2391[2], 0.2393[5], 0.2440[3], 0.2443[5], 0.2444[4], 0.2444[1], 0.2491[3], 0.2501[3], 0.2532[2], 0.2584[2], 0.2597[2], 0.2599[5], 0.2627[5], 0.2655[4], 0.2666[5], 0.2697[3], 0.2702[1], 0.2720[1], 0.2725[3], 0.2745[4], 0.2755[4], 0.2821[4], 0.2906[4], 0.2944[4], 0.3027[4], 0.3087[3], 0.3100[4], 0.3108[4], 0.3333[4]
